sourceEntityId;sourceName;countryCode;isActive;orderRefId;operatorConcatId;contactPersonConcatId;orderType;transactionDate;productRefId;quantityOfUnits;amount;ORDER_VALUE;distributorName;campaignCode;campaignName;pricePerUnit;currency;dateCreated;dateUpdated;comment;distributorId;distributorLocation;distributorOperatorId;vat;campaignLabel;loyaltyPoints;invoiceOperatorName;invoiceOperatorStreet;invoiceOperatorHouseNumber;invoiceOperatorHouseNumberExtension;invoiceOperatorZipCode;invoiceOperatorCity;invoiceOperatorState;invoiceOperatorCountry;deliveryOperatorName;deliveryOperatorStreet;deliveryOperatorHouseNumber;deliveryOperatorHouseNumberExtension;deliveryOperatorZipCode;deliveryOperatorCity;deliveryOperatorState;deliveryOperatorCountry;id;creationTimestamp
35cbf2f0-6480-4a3d-ac8c-d79455cd9e25;TRADEPARTNER_WEBSHOP_TEOSOONSENG;LS;false;fb4fef50;-5144-4c8d-ab59-0febd6085ad0;7d9ee0d3-45ed-4a0c-97db-4dace110f6dd;DIRECT;20160212 17:52:26;0f59e17d-3a9b-4300-955d-5d22add46073;327;1693.86;5081.58;for sister;53710438;enough;5.18;LSL;20160212 17:52:26;20160306 05:52:26;;;;;;;;;;;;;;;;;;;;;;;;1;1542205922011
35cbf2f0-6480-4a3d-ac8c-d79455cd9e25;TRADEPARTNER_WEBSHOP_TEOSOONSENG;LS;false;a561fccb;-08e7-4cce-a265-2566be5f3574;75f62b59-dcd8-4e0c-9556-cb0dbffb0e51;DIRECT;20160212 17:52:26;0f59e17d-3a9b-4300-955d-5d22add46073;327;1693.86;5081.58;for sister;53710438;enough;5.18;LSL;20160212 17:52:26;20160306 05:52:26;;;;;;;;;;;;;;;;;;;;;;;;2;1542205922011
35cbf2f0-6480-4a3d-ac8c-d79455cd9e25;TRADEPARTNER_WEBSHOP_TEOSOONSENG;LS;false;e6f10540;-659d-4380-be98-c61b85c09f57;8808ad84-bcbb-4464-ae67-2797483cc419;DIRECT;20160212 17:52:26;0f59e17d-3a9b-4300-955d-5d22add46073;327;1693.86;5081.58;for sister;53710438;enough;5.18;LSL;20160212 17:52:26;20160306 05:52:26;;;;;;;;;;;;;;;;;;;;;;;;3;1542205922011
191527cb-bc4a-4a0c-bbfe-501ead57574f;TRADEPARTNER_WEBSHOP_TEOSOONSENG;RU;false;41fa13c4;-56c7-4edb-afaf-8c4138ae38df;94f274ba-ae7b-47a0-888c-6e72d00f2421;SSD;20170813 06:54:32;80f41d3c-6e7e-4e51-8445-db9c27146fcb;600;228.0;684.0;конгресс;4786971;солдат;0.38;RUB;20170813 06:54:32;20170830 06:54:32;;;;;;;;;;;;;;;;;;;;;;;;4;1542205922011
191527cb-bc4a-4a0c-bbfe-501ead57574f;TRADEPARTNER_WEBSHOP_TEOSOONSENG;RU;false;e3f2452f;-aca0-4116-911c-dcfb190ae35e;a32b0829-ae90-4e38-bb68-49f3e86c8647;SSD;20170813 06:54:32;80f41d3c-6e7e-4e51-8445-db9c27146fcb;600;228.0;684.0;конгресс;4786971;солдат;0.38;RUB;20170813 06:54:32;20170830 06:54:32;;;;;;;;;;;;;;;;;;;;;;;;5;1542205922011
191527cb-bc4a-4a0c-bbfe-501ead57574f;TRADEPARTNER_WEBSHOP_TEOSOONSENG;RU;false;678df03e;-c15e-4a00-a0e8-3fbd4c2e7f7d;4d25ea9e-1381-406a-894c-d38ff4f8079c;SSD;20170813 06:54:32;80f41d3c-6e7e-4e51-8445-db9c27146fcb;600;228.0;684.0;конгресс;4786971;солдат;0.38;RUB;20170813 06:54:32;20170830 06:54:32;;;;;;;;;;;;;;;;;;;;;;;;6;1542205922011
fcd7ce5a-8bf2-4a9f-a1f1-f16219ff52a9;TRADEPARTNER_WEBSHOP_TEOSOONSENG;AE;true;34bd5f18;-199e-40c3-9963-cada1acd4ca6;521c7e89-f32f-4bbf-9fdd-f4aee29b1a0c;SSD;20160725 17:34:25;43e415ba-fe79-4dde-831f-46f5be9fe578;934;19352.48;58057.44;زجاج;93342574;ليس تصويت;20.72;AED;20160725 17:34:25;20160810 05:34:25;;;;;;;;;;;;;;;;;;;;;;;;7;1542205922011
fcd7ce5a-8bf2-4a9f-a1f1-f16219ff52a9;TRADEPARTNER_WEBSHOP_TEOSOONSENG;AE;true;187137bf;-5b85-4972-b4ca-efc2a53d7b76;a4b4d6bc-c86b-4b10-93dd-80cf5f077695;SSD;20160725 17:34:25;43e415ba-fe79-4dde-831f-46f5be9fe578;934;19352.48;58057.44;زجاج;93342574;ليس تصويت;20.72;AED;20160725 17:34:25;20160810 05:34:25;;;;;;;;;;;;;;;;;;;;;;;;8;1542205922011
fcd7ce5a-8bf2-4a9f-a1f1-f16219ff52a9;TRADEPARTNER_WEBSHOP_TEOSOONSENG;AE;true;3a09e951;-1774-4ccb-b750-fee6e3017c6b;2c5e1c5b-6ee6-4a00-aa2b-789f202df53b;SSD;20160725 17:34:25;43e415ba-fe79-4dde-831f-46f5be9fe578;934;19352.48;58057.44;زجاج;93342574;ليس تصويت;20.72;AED;20160725 17:34:25;20160810 05:34:25;;;;;;;;;;;;;;;;;;;;;;;;9;1542205922011
87c296fb-8ae3-45a2-9f2e-de2c88fb3e13;TRADEPARTNER_WEBSHOP_TEOSOONSENG;YE;true;f64487c2;-2418-4789-8fdb-35e3e7702d60;1a167ebb-01a9-48ff-93dc-eac45223155f;WEB;20170103 02:11:29;cb4ea8d3-4555-4720-8afe-70316eb94aff;536;37.52;112.56;قبض على;95309213;أختر مؤخرا;0.07;YER;20170103 02:11:29;20170122 02:11:29;;;;;;;;;;;;;;;;;;;;;;;;10;1542205922011
